*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Thu Jan 27 2022 19:28:25 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 348 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
| 191 | kmWETH/USDC-LINK     |   18151.4718 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 192 | kmWETH/DAI-LINK      |  666943.5172 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 193 | kmWBTC/USDT-LINK     |   22081.5375 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 194 | kmWBTC/DAI-LINK      | 1050270.9512 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 195 | kmWBTC/USDC-LINK     |   20260.7412 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 196 | kmLINK/USDT-LINK     |    5000.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 197 | kmLINK/DAI-LINK      |  676043.4524 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 198 | kmLINK/USDC-LINK     |   26170.0741 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 200 | kmUSDC/AAVE-LINK     |     459.9994 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 204 | kmUSDC/COMP-LINK     |     490.4108 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 207 | kmUSDC/GRT-LINK      |   18634.5861 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 209 | kmUSDC/LINK-LINK     |    2133.4925 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 212 | kmUSDC/SUSHI-LINK    |    4265.5023 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 213 | kmUSDC/UNI-LINK      |    1382.9188 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 216 | kmSUSHI/UNI-LINK     |   11770.8313 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 217 | kmUNI/SUSHI-LINK     |    3717.1708 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 218 | kmSUSHI/USDC-LINK    |    5267.9868 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 219 | kmSUSHI/USDT-LINK    |    5499.8719 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 220 | kmSUSHI/DAI-LINK     |    7154.9729 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 223 | kmAAVE/USDC-LINK     |   14316.0911 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 228 | kmDAI/CRV-LINK       |      41.8900 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 230 | [yvBOOST]-[WETH] SLP |   27118.3487 |   $4,554,591.12 | SUSHI  |   0.18% | 0.00 ($0.00), 0.00% |
| 231 | [AXS]-[WETH] SLP     |     500.4247 |     $424,973.74 | SUSHI  |  60.39% | 0.00 ($0.00), 0.00% |
| 234 | [BTC2x-FLI]-[WBTC... |       0.0050 |   $1,000,873.00 | SUSHI  |   0.48% | 0.00 ($0.00), 0.00% |
| 235 | [WBTC]-[ibBTC] SLP   |       0.0005 |   $4,036,195.70 | SUSHI  |   0.08% | 0.00 ($0.00), 0.00% |
| 240 | [MANA]-[WETH] SLP    |   47642.6898 |   $8,036,266.79 | SUSHI  |   3.04% | 0.00 ($0.00), 0.00% |
| 244 | [ILV]-[WETH] SLP     |   11580.0654 |  $28,346,282.92 | SUSHI  |   0.39% | 0.00 ($0.00), 0.00% |
| 245 | kmxSUSHI/UST-LINK    |   40986.5104 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 246 | kmxSUSHI/DAI-LINK    | 2027106.3518 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 247 | kmxSUSHI/USDC-LINK   |  320826.1173 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 248 | kmxSUSHI/TUSD-LINK   |   82718.7480 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 249 | kmxSUSHI/USDT-LINK   |  154893.5886 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 250 | MASTERCHEFDUMMY      |       1.0000 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 259 | [WETH]-[MLN] SLP     |    2563.7864 |   $1,986,943.89 | SUSHI  |   9.07% | 0.00 ($0.00), 0.00% |
| 262 | kmFTM/USDC-LINK      |    8279.3548 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 263 | kmSNX/USDC-LINK      |   18482.8928 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 266 | kmAAVE/DAI-LINK      |  276732.2952 |           $0.00 | SUSHI  |    NaN% | 0.00 ($0.00), NaN%  |
| 268 | [BPT]-[WETH] SLP     |     410.5414 |      $91,916.02 | SUSHI  |   1.73% | 0.00 ($0.00), 0.00% |
| 270 | [BANK]-[WETH] SLP    |    9690.7470 |     $243,905.30 | SUSHI  |   6.54% | 0.00 ($0.00), 0.00% |
| 271 | [alUSD]-[WETH] SLP   |    2955.0178 |     $303,013.46 | SUSHI  |   4.21% | 0.00 ($0.00), 0.00% |
| 272 | [USDC]-[SAK3] SLP    |       0.0004 |      $55,881.98 | SUSHI  |  42.79% | 0.00 ($0.00), 0.00% |
| 275 | [WETH]-[FOLD] SLP    |     136.9201 |      $80,936.67 | SUSHI  |  29.54% | 0.00 ($0.00), 0.00% |
| 278 | [WETH]-[1ONE] SLP    |    3022.5927 |     $140,183.33 | SUSHI  |  28.43% | 0.00 ($0.00), 0.00% |
| 281 | [ANKR]-[WETH] SLP    |    2675.4575 |      $73,471.73 | SUSHI  |   4.34% | 0.00 ($0.00), 0.00% |
| 282 | [WETH]-[ONX] SLP     |   10675.0983 |     $637,307.90 | SUSHI  |   0.50% | 0.00 ($0.00), 0.00% |
| 285 | [TOWER]-[WETH] SLP   |     740.5540 |      $13,196.28 | SUSHI  |  60.40% | 0.00 ($0.00), 0.00% |
| 286 | [DPI]-[FEI] SLP      |   20926.4740 |     $567,629.88 | SUSHI  |   2.81% | 0.00 ($0.00), 0.00% |
| 292 | [DOG]-[WETH] SLP     |   15169.1132 |      $86,521.67 | SUSHI  |   1.84% | 0.00 ($0.00), 0.00% |
| 293 | [WETH]-[ID] SLP      |     529.5722 |      $34,066.08 | SUSHI  |  51.48% | 0.00 ($0.00), 0.00% |
| 298 | [SPELL]-[WETH] SLP   |  131849.8313 |   $1,288,837.00 | SUSHI  |  27.21% | 0.00 ($0.00), 0.00% |
| 299 | [DATA]-[WETH] SLP    |     153.2852 |     $115,163.76 | SUSHI  |   6.92% | 0.00 ($0.00), 0.00% |
| 302 | [REVV]-[WETH] SLP    |    7966.1037 |     $286,668.42 | SUSHI  |   2.78% | 0.00 ($0.00), 0.00% |
| 303 | [KAE]-[WETH] SLP     |     169.1726 |     $112,150.52 | SUSHI  |   4.26% | 0.00 ($0.00), 0.00% |
| 304 | [BiFi]-[WETH] SLP    |     602.0052 |      $10,274.77 | SUSHI  |  46.55% | 0.00 ($0.00), 0.00% |
| 305 | [SYN]-[WETH] SLP     |    2334.0493 |     $385,323.47 | SUSHI  |  26.89% | 0.00 ($0.00), 0.00% |
| 306 | [WETH]-[GLYPH] SLP   |       0.0765 |       $7,018.55 | SUSHI  |  68.14% | 0.00 ($0.00), 0.00% |
| 310 | [SQGL]-[WETH] SLP    |       0.4037 |       $4,469.47 | SUSHI  | 107.00% | 0.00 ($0.00), 0.00% |
