*************** 👨‍🌾 UNOFFICIAL SUSHISWAP FARMING CALCULATOR 👨‍🌾 *************
INFO  : https://app.sushi.com/farms/
****************************************************************************

Mon Sep 13 2021 10:11:57 GMT+0300 (Москва, стандартное время)

[CHANGE WALLET] -=- [CLEAR BROWSER STORAGE]

Initialized 0x9fc94f19a42067a4620a9885808aeee8b1b9a444
Reading smart contracts...
Staking Contract
Found 298 pools.
Showing incentivized pools only.
Finished reading smart contracts.
.------------------------------------------------------------------------------------------------------.
|                                                Sushi                                                 |
|------------------------------------------------------------------------------------------------------|
|  #  |         Pair         | Total Staked | Total $ Staked  | Reward |   APR   |      My Stake       |
| 138 | [DAO]-[WETH] SLP     |    2306.7085 |     $432,622.36 | SUSHI  |  29.47% | 0.00 ($0.00), 0.00% |
| 139 | [WETH]-[GRT] SLP     |   21896.2459 |   $2,486,799.34 | SUSHI  |  19.23% | 0.00 ($0.00), 0.00% |
| 140 | [FTM]-[WETH] SLP     |   45039.9692 |   $7,598,277.58 | SUSHI  |  41.95% | 0.00 ($0.00), 0.00% |
| 141 | [WETH]-[ANY] SLP     |   20125.1070 |   $5,548,463.02 | SUSHI  |   3.83% | 0.00 ($0.00), 0.00% |
| 149 | [XFT]-[WETH] SLP     |    3353.8546 |     $632,567.82 | SUSHI  |   8.40% | 0.00 ($0.00), 0.00% |
| 150 | [WETH]-[ZRX] SLP     |   16215.8531 |   $1,964,425.71 | SUSHI  |   5.41% | 0.00 ($0.00), 0.00% |
| 152 | [DERI]-[USDT] SLP    |       1.8678 |   $1,154,372.11 | SUSHI  |   5.52% | 0.00 ($0.00), 0.00% |
| 153 | [PREMIA]-[WETH] SLP  |   42895.2212 |   $4,356,730.69 | SUSHI  |   1.22% | 0.00 ($0.00), 0.00% |
| 154 | [BANK]-[WETH] SLP    |    1202.2521 |   $1,291,006.56 | SUSHI  |  28.81% | 0.00 ($0.00), 0.00% |
| 155 | [LINA]-[WETH] SLP    |    3420.1039 |     $105,718.15 | SUSHI  |  20.10% | 0.00 ($0.00), 0.00% |
| 156 | [PERP]-[WETH] SLP    |    3683.1328 |   $1,711,573.73 | SUSHI  |  74.49% | 0.00 ($0.00), 0.00% |
| 157 | [WSCRT]-[WETH] SLP   |       0.0019 |     $349,404.03 | SUSHI  |   6.08% | 0.00 ($0.00), 0.00% |
| 158 | [USDP]-[WETH] SLP    |    1961.3196 |     $236,504.39 | SUSHI  |   4.49% | 0.00 ($0.00), 0.00% |
| 159 | [USDP]-[DUCK] SLP    |  130260.0073 |      $97,173.51 | SUSHI  |  10.93% | 0.00 ($0.00), 0.00% |
| 164 | [RLC]-[WETH] SLP     |       0.1730 |   $1,333,306.62 | SUSHI  |   5.58% | 0.00 ($0.00), 0.00% |
| 165 | [bDIGG]-[WETH] SLP   |       8.6302 |      $87,373.97 | SUSHI  |  24.32% | 0.00 ($0.00), 0.00% |
| 166 | [bBADGER]-[WETH] SLP |     263.0419 |     $145,286.84 | SUSHI  |  21.94% | 0.00 ($0.00), 0.00% |
| 167 | [YLA]-[USDC] SLP     |       0.0594 |     $122,600.13 | SUSHI  |   8.67% | 0.00 ($0.00), 0.00% |
| 169 | [MASK]-[USDC] SLP    |       0.0436 |     $318,532.63 | SUSHI  |  50.03% | 0.00 ($0.00), 0.00% |
